meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,run_id
0.4826875640768614,0.315,0.295,0.39,0.005,0.245,0.065,0.37398557632957236,0.46248913022934773,0.5,0.71,0,baseline,0.5,38
0.5006103166341862,0.285,0.39,0.325,0.0,0.205,0.08,0.3952598958952967,0.4839282050281436,0.5,0.76,0,baseline,0.5,39
0.5035914250101454,0.265,0.355,0.38,0.005,0.195,0.065,0.3959718660705008,0.49420502678504846,0.5,0.72,0,baseline,0.5,40
0.4980494855928835,0.3,0.35,0.35,0.0,0.22,0.08,0.40600086368876104,0.5231555031384918,0.5,0.72,0,baseline,0.5,41
0.4777606739372208,0.33,0.28,0.39,0.0,0.24,0.09,0.3661648801290071,0.4690221553290436,0.5,0.7,0,baseline,0.5,42
0.49791613289818654,0.275,0.315,0.41,0.005,0.215,0.055,0.3933372345502474,0.4918386203482201,0.5,0.76,0,baseline,0.5,43
0.5022055877497922,0.265,0.35,0.385,0.005,0.195,0.065,0.3974346315975794,0.5159062215250553,0.5,0.74,0,baseline,0.5,44
0.4968609491598326,0.295,0.39,0.315,0.0,0.23,0.065,0.3871949974612076,0.4956346757210137,0.5,0.725,0,baseline,0.5,45
0.48794798474511575,0.3,0.33,0.37,0.005,0.22,0.075,0.372371694876294,0.4640861572324908,0.5,0.72,0,baseline,0.5,46
0.4964628465837042,0.285,0.31,0.405,0.0,0.205,0.08,0.38463896686555243,0.4809546405700446,0.5,0.76,0,baseline,0.5,47
0.5062814360493285,0.275,0.36,0.365,0.005,0.215,0.055,0.40187076666486804,0.5081366630597131,0.5,0.72,0,baseline,0.5,48
0.5064360024203559,0.245,0.375,0.38,0.0,0.18,0.065,0.3938553341504905,0.48896637760907125,0.5,0.705,0,baseline,0.5,49
0.4900716506141935,0.285,0.315,0.4,0.0,0.23,0.055,0.3766301002730404,0.46623463860999037,0.5,0.78,0,baseline,0.5,50
0.5006260943245298,0.29,0.34,0.37,0.01,0.22,0.06,0.3942976426015488,0.495005701583966,0.5,0.72,0,baseline,0.5,51
0.5051056442384259,0.26,0.385,0.355,0.0,0.205,0.055,0.40213636896955923,0.5014909135608208,0.5,0.75,0,baseline,0.5,52
0.4833813304266242,0.335,0.305,0.36,0.01,0.24,0.085,0.3723246111880361,0.4717096889960806,0.5,0.715,0,baseline,0.5,53
0.4972316392447992,0.27,0.32,0.41,0.0,0.235,0.035,0.39386465167801105,0.5073851110334755,0.5,0.785,0,baseline,0.5,54
0.49271242200811005,0.335,0.325,0.34,0.0,0.245,0.09,0.38308692552159473,0.4727531222232976,0.5,0.7,0,baseline,0.5,55
0.4880135034169848,0.32,0.32,0.36,0.005,0.215,0.1,0.3867472874025884,0.4932166363303355,0.5,0.74,0,baseline,0.5,56
0.47911451432370633,0.33,0.29,0.38,0.005,0.27,0.055,0.3717805451063941,0.45921426297455975,0.5,0.725,0,baseline,0.5,57
0.4815505971588708,0.325,0.34,0.335,0.005,0.22,0.1,0.3748049668650002,0.47957138717450093,0.5,0.685,0,baseline,0.5,58
0.515465334241628,0.245,0.4,0.355,0.0,0.195,0.05,0.40824803273472765,0.5038116302536624,0.5,0.71,0,baseline,0.5,59
0.49167312298547716,0.32,0.355,0.325,0.005,0.26,0.055,0.39020425554048116,0.503854015330023,0.5,0.785,0,baseline,0.5,60
0.4787960806149267,0.315,0.295,0.39,0.015,0.22,0.08,0.36155637795077294,0.45842262615820417,0.5,0.725,0,baseline,0.5,61
0.500427773010219,0.265,0.39,0.345,0.005,0.2,0.06,0.3923997572435174,0.4875963145241639,0.5,0.75,0,baseline,0.5,62
0.49279366074753184,0.305,0.35,0.345,0.0,0.225,0.08,0.38862148529520213,0.49714431792863345,0.5,0.74,0,baseline,0.5,63
0.4801728921282297,0.335,0.305,0.36,0.015,0.255,0.065,0.37234704179614453,0.46205772730355305,0.5,0.72,0,baseline,0.5,64
0.48884089470233866,0.315,0.3,0.385,0.0,0.255,0.06,0.3851609361688777,0.4834218323273592,0.5,0.765,0,baseline,0.5,65
0.4848015445100659,0.32,0.335,0.345,0.0,0.23,0.09,0.37591042711123296,0.47746266680187277,0.5,0.69,0,baseline,0.5,66
0.49071008395075494,0.335,0.305,0.36,0.0,0.285,0.05,0.38243316713838227,0.49079514425383947,0.5,0.74,0,baseline,0.5,67
0.4983418313824775,0.24,0.34,0.42,0.0,0.185,0.055,0.3844647156936998,0.4854683083673204,0.5,0.785,0,baseline,0.5,68
0.4927934727873152,0.305,0.37,0.325,0.005,0.26,0.04,0.3878944526114074,0.48654508612815817,0.5,0.735,0,baseline,0.5,69
0.5059605637096375,0.28,0.355,0.365,0.005,0.24,0.035,0.40130630262012157,0.49054977440757286,0.5,0.745,0,baseline,0.5,70
0.483152250705547,0.305,0.28,0.415,0.005,0.225,0.075,0.3777128554718846,0.4809571952905944,0.5,0.76,0,baseline,0.5,71
0.5018222663849023,0.26,0.345,0.395,0.01,0.195,0.055,0.3970611576569323,0.4891722739668288,0.5,0.73,0,baseline,0.5,72
0.4910764686071731,0.305,0.335,0.36,0.0,0.21,0.095,0.3951684166913664,0.5103084140336756,0.5,0.735,0,baseline,0.5,73
0.4929377285644202,0.265,0.365,0.37,0.0,0.195,0.07,0.38328623023758834,0.48929786409253295,0.5,0.805,0,baseline,0.5,74
0.48779954539219966,0.31,0.325,0.365,0.0,0.255,0.055,0.38292117176349877,0.49591658073902534,0.5,0.715,0,baseline,0.5,75
0.4780128483453206,0.36,0.27,0.37,0.01,0.255,0.095,0.36595863607307144,0.46991703867498247,0.5,0.67,0,baseline,0.5,76
0.4789581780130565,0.335,0.325,0.34,0.005,0.225,0.105,0.3738203267390864,0.4717876934043454,0.5,0.69,0,baseline,0.5,77
0.4927764140574166,0.28,0.32,0.4,0.0,0.215,0.065,0.3856746802048441,0.47385498920813246,0.5,0.76,0,baseline,0.5,78
0.4763389739020235,0.35,0.275,0.375,0.0,0.26,0.09,0.3711533758662445,0.46412025394328266,0.5,0.76,0,baseline,0.5,79
0.48552176685583204,0.32,0.31,0.37,0.0,0.225,0.095,0.37697038482932127,0.4703794691749899,0.5,0.65,0,baseline,0.5,80
