post_labor,scenario,meaning_mean,meaning_std,sink_mean,sink_std,collapse_prob,birth_intention,social_trust,n_runs
0.0,baseline,0.6611622950441762,0.008486280570657753,0.0152,0.00844912747578357,0.0,0.6001349874738535,0.539518774411917,50
0.0,fairness_only,0.6901146515188641,0.008340813831783535,0.0066,0.005480950312357394,0.0,0.6410525711995126,0.5827092305579046,50
0.0,full_bundle,0.7124369135844563,0.008230642487912634,0.0031,0.004026696625558687,0.0,0.658667180786056,0.5975527210217138,50
0.0,roles_only,0.6760304142104342,0.008392145694922028,0.0096,0.007412069583470198,0.0,0.6046683935847718,0.539625443623677,50
0.0,ubi_only,0.6715226612333592,0.008457745910637708,0.0116,0.007853245786791288,0.0,0.6147019815871099,0.5547597674541305,50
0.2,baseline,0.5964134357032811,0.007559511816170195,0.0805,0.021529524104430764,0.0,0.5161051464991511,0.5191646724108415,50
0.2,fairness_only,0.6295472677155375,0.007264708419382889,0.0483,0.01624462234408793,0.0,0.5615458510480711,0.5633505126623354,50
0.2,full_bundle,0.679183943867222,0.006878091893797615,0.015300000000000001,0.007519362760668662,0.0,0.6140370016275736,0.5866074394447278,50
0.2,roles_only,0.6285642415860581,0.007202491285413232,0.0409,0.014557766704703415,0.0,0.5419181804204275,0.5245834549659046,50
0.2,ubi_only,0.6219113970577941,0.007313251146146473,0.046900000000000004,0.01554749143096462,0.0,0.549782570076091,0.5390411629787021,50
0.4,baseline,0.5292176666499392,0.010040944056235237,0.20550000000000002,0.029970223317724635,0.0,0.43242070940011046,0.5009148918094607,50
0.4,fairness_only,0.5667760395109105,0.009609759347975578,0.1359,0.024901643253703032,0.0,0.48218869973711276,0.5461869834856489,50
0.4,full_bundle,0.6466153716564327,0.008816317752775651,0.029300000000000003,0.013054438607115158,0.0,0.5712165081299809,0.5787569714180025,50
0.4,roles_only,0.5808441115221715,0.009361878253883033,0.09630000000000001,0.02357813757336595,0.0,0.48067454363710205,0.5124781064836825,50
0.4,ubi_only,0.5716558532921395,0.00957342857850472,0.1114,0.02445403852127496,0.0,0.4860800651446307,0.5260990671591995,50
0.5,baseline,0.4947126956548828,0.007898392749048187,0.2918,0.023813904358931295,0.0,0.3881401694696594,0.48732122091841773,50
0.5,fairness_only,0.5347115896384167,0.007563835198410921,0.1963,0.022447444288872645,0.0,0.4399378032342007,0.5334242278983187,50
0.5,full_bundle,0.6307481828570893,0.007056246698181612,0.0384,0.012914159291416599,0.0,0.5479534350323133,0.5711752323212321,50
0.5,roles_only,0.556904164288325,0.007456700217483655,0.1349,0.019099364237736144,0.0,0.4478352751296161,0.5023181318727531,50
0.5,ubi_only,0.5462450999581897,0.00750916078396979,0.1574,0.018467842984219784,0.0,0.45187477981852225,0.515495829825411,50
0.6,baseline,0.45789961848668476,0.009286684366497367,0.3947,0.03887985155762375,0.0,0.343715377258949,0.4739612576969074,50
0.6,fairness_only,0.5001511501587259,0.008942866691460117,0.27690000000000003,0.03023530170823098,0.0,0.39734507981233724,0.5207135325195228,50
0.6,full_bundle,0.6131254142528438,0.008018691527505976,0.050499999999999996,0.01492327315412584,0.0,0.5248622004240502,0.5641380542939894,50
0.6,roles_only,0.5304821524413057,0.008738526039427215,0.1884,0.027892651361962714,0.0,0.41481635598820593,0.4925922844783276,50
0.6,ubi_only,0.5184599355517457,0.008772584037680659,0.22030000000000002,0.02696199138772648,0.0,0.4175068779814594,0.5052548731805989,50
0.7,baseline,0.4214384080301166,0.009462964538399636,0.5122,0.03316870912933035,0.0,0.30011920482886373,0.4656204431109576,50
0.7,fairness_only,0.4648620420430498,0.009499448216806148,0.37770000000000004,0.04206663809738457,0.0,0.3548219327698569,0.512897098737806,50
0.7,full_bundle,0.5954026935992472,0.008183191315867089,0.0673,0.018132449208138276,0.0,0.5018517229117883,0.5619619476821276,50
0.7,roles_only,0.5037835403256669,0.009153521844826646,0.2548,0.0330268907135395,0.0,0.38199747641739457,0.48782486192952207,50
0.7,ubi_only,0.49047738607661967,0.009249295924828715,0.2923,0.03632632710330519,0.0,0.3833161524983527,0.4999575758897487,50
0.8,baseline,0.3823326456133287,0.00808934994274664,0.6293,0.03614045728904415,2.0,0.2528253260387296,0.4489255151231448,50
0.8,fairness_only,0.4267004365079128,0.008402613907297542,0.49060000000000004,0.03679285644951049,0.0,0.3079317202554954,0.49667699004983634,50
0.8,full_bundle,0.5756929668706299,0.0075805501084888404,0.0894,0.020269611314900515,0.0,0.47521374765157587,0.5522379126086986,50
0.8,roles_only,0.4742880297371167,0.008150159591535784,0.3347,0.03541892149684967,0.0,0.3448621397276084,0.4748272170792546,50
0.8,ubi_only,0.45931538359684665,0.008246761441226614,0.38280000000000003,0.03754126980771308,0.0,0.34470034640166924,0.48643843486202065,50
0.9,baseline,0.3480681138767276,0.008140871773402777,0.736,0.032670276074369384,86.0,0.21223164237207534,0.4368776227226423,50
0.9,fairness_only,0.3923997539785828,0.008545690985723811,0.6033,0.03323708894642628,0.0,0.2672038528648697,0.4849005084727074,50
0.9,full_bundle,0.558726270184329,0.008132605296467352,0.11320000000000001,0.02349033670187269,0.0,0.4536092069137233,0.5467360114130563,50
0.9,roles_only,0.448623055926021,0.008605832284915557,0.41159999999999997,0.035976749861712704,0.0,0.3138697084596114,0.4665011614713704,50
0.9,ubi_only,0.4322413877632579,0.008613503757565106,0.4691,0.035652661119444644,0.0,0.3122255869544885,0.477488648819683,50
0.95,baseline,0.3303418845050524,0.007761817717001509,0.7876000000000001,0.0255199001981287,100.0,0.19200585747335963,0.43229332681337757,50
0.95,fairness_only,0.3743106290272161,0.008147250656360613,0.6568,0.03282234181847755,6.0,0.2465199264835081,0.4802087968570617,50
0.95,full_bundle,0.5494095801715868,0.007704420208334401,0.13019999999999998,0.023646201748755705,0.0,0.44270978255253873,0.5453648636002715,50
0.95,roles_only,0.43409993505734945,0.008278317280315218,0.4583,0.03537856493899743,0.0,0.2975908024889117,0.46341139794160213,50
0.95,ubi_only,0.4173631336614118,0.008356567279032022,0.515,0.03859787453173229,0.0,0.2953680984421577,0.47411268940911955,50
