meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,ratio,economic_weight,virtual_weight,scenario,post_labor,run_id
0.3271584874349723,0.77,0.03,0.2,0.035,0.325,0.41,0.18783891856527532,0.43054015901111603,0.95,1,3:1,0.675,0.225,baseline,0.95,0
0.3216031536576088,0.815,0.04,0.145,0.035,0.345,0.435,0.1875767405479025,0.4365140665352872,0.95,1,3:1,0.675,0.225,baseline,0.95,1
0.33069512006622026,0.795,0.025,0.18,0.045,0.44,0.31,0.1874849574234755,0.4272546664949629,0.95,1,3:1,0.675,0.225,baseline,0.95,2
0.33129472508056607,0.805,0.015,0.18,0.045,0.43,0.33,0.19088819582803154,0.44429223507382753,0.95,1,3:1,0.675,0.225,baseline,0.95,3
0.32675523043864396,0.8,0.035,0.165,0.05,0.365,0.385,0.1872077668020799,0.4398198986956944,0.95,1,3:1,0.675,0.225,baseline,0.95,4
0.34896209884895546,0.73,0.05,0.22,0.02,0.36,0.35,0.21089639047045616,0.4628493734783865,0.95,1,3:1,0.675,0.225,baseline,0.95,5
0.31680453768898564,0.805,0.015,0.18,0.03,0.35,0.425,0.18036991828785404,0.416595458332893,0.95,1,3:1,0.675,0.225,baseline,0.95,6
0.33440951140504943,0.785,0.02,0.195,0.02,0.43,0.335,0.19408772273012342,0.43520538057847274,0.95,1,3:1,0.675,0.225,baseline,0.95,7
0.3233160119391374,0.83,0.015,0.155,0.04,0.41,0.38,0.18570462220156256,0.42482123285789347,0.95,1,3:1,0.675,0.225,baseline,0.95,8
0.3236679239703277,0.805,0.035,0.16,0.04,0.38,0.385,0.18323670778972428,0.42917280049887446,0.95,1,3:1,0.675,0.225,baseline,0.95,9
0.3318043517671485,0.805,0.035,0.16,0.035,0.405,0.365,0.19153528367852765,0.4299283490966137,0.95,1,3:1,0.675,0.225,baseline,0.95,10
0.31904660749042263,0.81,0.0,0.19,0.025,0.385,0.4,0.17529926583007147,0.40282746964215216,0.95,1,3:1,0.675,0.225,baseline,0.95,11
0.346636545244626,0.74,0.025,0.235,0.035,0.4,0.305,0.2097815366718905,0.4546377191574941,0.95,1,3:1,0.675,0.225,baseline,0.95,12
0.31946213229852044,0.84,0.02,0.14,0.025,0.385,0.43,0.19051434119926122,0.4391227395871546,0.95,1,3:1,0.675,0.225,baseline,0.95,13
0.32692396333205914,0.805,0.025,0.17,0.005,0.39,0.41,0.18333188173454792,0.42901297748611283,0.95,1,3:1,0.675,0.225,baseline,0.95,14
0.33173837784908683,0.73,0.015,0.255,0.02,0.3,0.41,0.18782862243755133,0.4116184992677491,0.95,1,3:1,0.675,0.225,baseline,0.95,15
0.32404202532606585,0.795,0.025,0.18,0.04,0.36,0.395,0.18811180857581405,0.4215454071326339,0.95,1,3:1,0.675,0.225,baseline,0.95,16
0.3354704028017813,0.745,0.05,0.205,0.02,0.35,0.375,0.19473297292976613,0.4304886808098772,0.95,1,3:1,0.675,0.225,baseline,0.95,17
0.3256613267362656,0.82,0.03,0.15,0.025,0.375,0.42,0.18584953878799418,0.4305395803915637,0.95,1,3:1,0.675,0.225,baseline,0.95,18
0.3239174962585162,0.805,0.025,0.17,0.025,0.345,0.435,0.1795462743926683,0.4059991576110097,0.95,1,3:1,0.675,0.225,baseline,0.95,19
0.3278209611342903,0.8,0.03,0.17,0.035,0.395,0.37,0.18983671471191663,0.4385122099070504,0.95,1,3:1,0.675,0.225,baseline,0.95,20
0.3254776636988197,0.77,0.045,0.185,0.04,0.37,0.36,0.1960658964708098,0.44319960318837104,0.95,1,3:1,0.675,0.225,baseline,0.95,21
0.3304239783486176,0.78,0.04,0.18,0.02,0.325,0.435,0.18893696162473742,0.4273961296017727,0.95,1,3:1,0.675,0.225,baseline,0.95,22
0.3301637068287764,0.8,0.05,0.15,0.04,0.39,0.37,0.18666990898641905,0.4259351458165681,0.95,1,3:1,0.675,0.225,baseline,0.95,23
0.3344410655923361,0.8,0.015,0.185,0.015,0.43,0.355,0.19082685411066808,0.43292426225034697,0.95,1,3:1,0.675,0.225,baseline,0.95,24
0.33313236035148086,0.805,0.035,0.16,0.035,0.415,0.355,0.19114149383199525,0.4265809853414852,0.95,1,3:1,0.675,0.225,baseline,0.95,25
0.32165345814576823,0.815,0.025,0.16,0.035,0.37,0.41,0.18382056246714257,0.41163088841028367,0.95,1,3:1,0.675,0.225,baseline,0.95,26
0.3135079405276988,0.82,0.035,0.145,0.02,0.36,0.44,0.1766343752162698,0.40620389190324757,0.95,1,3:1,0.675,0.225,baseline,0.95,27
0.32387327352874423,0.795,0.03,0.175,0.02,0.365,0.41,0.18192136801835218,0.42772433018240746,0.95,1,3:1,0.675,0.225,baseline,0.95,28
0.34068463047300673,0.745,0.03,0.225,0.03,0.355,0.36,0.2045476194919821,0.45564639947897434,0.95,1,3:1,0.675,0.225,baseline,0.95,29
0.3109362895485397,0.855,0.02,0.125,0.015,0.38,0.46,0.17492802735699547,0.43253875884690013,0.95,1,3:1,0.675,0.225,baseline,0.95,30
0.32046105360614313,0.845,0.02,0.135,0.025,0.41,0.41,0.17662676890124396,0.4062914629071788,0.95,1,3:1,0.675,0.225,baseline,0.95,31
0.3350106766439125,0.795,0.035,0.17,0.015,0.43,0.35,0.19768805354688423,0.41738106323843355,0.95,1,3:1,0.675,0.225,baseline,0.95,32
0.33052207955754104,0.785,0.03,0.185,0.03,0.385,0.37,0.18649013476626433,0.4238134829458491,0.95,1,3:1,0.675,0.225,baseline,0.95,33
