speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,baseline,45,40,29,0.745,0.3460141110274935,0.95
rapid,baseline,15,10,30,0.605,0.3851572156089301,0.95
rapid,baseline,25,20,30,0.795,0.3450927841886727,0.95
rapid,baseline,45,40,30,0.8,0.3340871189339204,0.95
rapid,baseline,15,10,31,0.695,0.3676906516887658,0.95
rapid,baseline,25,20,31,0.775,0.3474390649348825,0.95
rapid,baseline,45,40,31,0.81,0.3294782022864288,0.95
rapid,baseline,15,10,32,0.655,0.3731300895072714,0.95
rapid,baseline,25,20,32,0.76,0.34116596425218754,0.95
rapid,baseline,45,40,32,0.765,0.33678369062635044,0.95
rapid,baseline,15,10,33,0.645,0.38824906331263664,0.95
rapid,baseline,25,20,33,0.79,0.3506639738934279,0.95
rapid,baseline,45,40,33,0.83,0.32131082192962424,0.95
rapid,baseline,15,10,34,0.615,0.3847393496537219,0.95
rapid,baseline,25,20,34,0.635,0.367236945519296,0.95
rapid,baseline,45,40,34,0.81,0.3287619721247211,0.95
rapid,baseline,15,10,35,0.65,0.37998049563158465,0.95
rapid,baseline,25,20,35,0.67,0.3676369550212029,0.95
rapid,baseline,45,40,35,0.82,0.32678416903766716,0.95
rapid,baseline,15,10,36,0.675,0.3740037652774799,0.95
rapid,baseline,25,20,36,0.73,0.34863538737329686,0.95
rapid,baseline,45,40,36,0.805,0.32042409043339704,0.95
rapid,baseline,15,10,37,0.59,0.40044150076661933,0.95
rapid,baseline,25,20,37,0.67,0.36692069137487515,0.95
rapid,baseline,45,40,37,0.75,0.33583435444196114,0.95
rapid,baseline,15,10,38,0.64,0.37808727974277667,0.95
rapid,baseline,25,20,38,0.745,0.34864550950770223,0.95
rapid,baseline,45,40,38,0.795,0.3224665969497431,0.95
rapid,baseline,15,10,39,0.705,0.37592770347181703,0.95
rapid,baseline,25,20,39,0.76,0.33359009297579867,0.95
rapid,baseline,45,40,39,0.795,0.3332854174909924,0.95
rapid,baseline,15,10,40,0.595,0.3972835400259845,0.95
rapid,baseline,25,20,40,0.655,0.36056459690026604,0.95
rapid,baseline,45,40,40,0.795,0.3332765312183961,0.95
rapid,baseline,15,10,41,0.62,0.3908239724312119,0.95
rapid,baseline,25,20,41,0.72,0.35734254946017147,0.95
rapid,baseline,45,40,41,0.81,0.3286640619140745,0.95
rapid,baseline,15,10,42,0.67,0.3711608878447676,0.95
rapid,baseline,25,20,42,0.765,0.35308852960363274,0.95
rapid,baseline,45,40,42,0.8,0.33332547402030643,0.95
rapid,baseline,15,10,43,0.68,0.3624617459416072,0.95
rapid,baseline,25,20,43,0.77,0.330338544081221,0.95
rapid,baseline,45,40,43,0.78,0.327359605594707,0.95
rapid,baseline,15,10,44,0.72,0.36589402994333525,0.95
rapid,baseline,25,20,44,0.72,0.35260428887167705,0.95
rapid,baseline,45,40,44,0.815,0.31888639820418974,0.95
rapid,baseline,15,10,45,0.66,0.37831707721657437,0.95
rapid,baseline,25,20,45,0.725,0.35119060627287974,0.95
rapid,baseline,45,40,45,0.77,0.33900018391468334,0.95
rapid,baseline,15,10,46,0.64,0.3867344950732482,0.95
rapid,baseline,25,20,46,0.695,0.36308377539933223,0.95
rapid,baseline,45,40,46,0.765,0.3407510341062639,0.95
rapid,baseline,15,10,47,0.63,0.3791968795175989,0.95
rapid,baseline,25,20,47,0.735,0.350942638277496,0.95
rapid,baseline,45,40,47,0.755,0.3385582097387333,0.95
rapid,baseline,15,10,48,0.71,0.3597938911190304,0.95
rapid,baseline,25,20,48,0.735,0.3448309087261797,0.95
rapid,baseline,45,40,48,0.785,0.3239252646821433,0.95
rapid,baseline,15,10,49,0.65,0.3742541299175258,0.95
rapid,baseline,25,20,49,0.72,0.35319205195558423,0.95
rapid,baseline,45,40,49,0.75,0.3457244469420839,0.95
rapid,ubi_only,15,10,0,0.38,0.4481579126889163,0.95
rapid,ubi_only,25,20,0,0.52,0.42112341691986566,0.95
rapid,ubi_only,45,40,0,0.51,0.4245272892249744,0.95
rapid,ubi_only,15,10,1,0.395,0.4575148405777288,0.95
rapid,ubi_only,25,20,1,0.435,0.4306930450809491,0.95
rapid,ubi_only,45,40,1,0.505,0.4196744086080406,0.95
rapid,ubi_only,15,10,2,0.375,0.44731954099097754,0.95
rapid,ubi_only,25,20,2,0.42,0.4445706997784372,0.95
rapid,ubi_only,45,40,2,0.505,0.421049827240151,0.95
rapid,ubi_only,15,10,3,0.445,0.44591474621690524,0.95
rapid,ubi_only,25,20,3,0.43,0.44285539671581076,0.95
