meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,speed,run_id
0.5017285977917123,0.275,0.365,0.36,0.005,0.24,0.03,0.3987840193656345,0.5002440580144789,0.4999999999999992,0.775,0,baseline,0.5,gradual,0
0.5072139713393308,0.24,0.365,0.395,0.0,0.165,0.075,0.39890410359226214,0.48844753177660377,0.4999999999999992,0.71,0,baseline,0.5,gradual,1
0.5096083607763664,0.27,0.395,0.335,0.005,0.22,0.045,0.401296286073121,0.5094121070249927,0.4999999999999992,0.725,0,baseline,0.5,gradual,2
0.5076022129924672,0.255,0.39,0.355,0.0,0.205,0.05,0.39864238091857657,0.49676842847550867,0.4999999999999992,0.77,0,baseline,0.5,gradual,3
0.5067119621486879,0.255,0.375,0.37,0.0,0.215,0.04,0.40278014948981367,0.5002851568062668,0.4999999999999992,0.76,0,baseline,0.5,gradual,4
0.5234118024990494,0.25,0.43,0.32,0.0,0.19,0.06,0.42307039854375034,0.5235727952507235,0.4999999999999992,0.675,0,baseline,0.5,gradual,5
0.5044453769498087,0.285,0.345,0.37,0.0,0.24,0.045,0.39793219689407594,0.47761843648593866,0.4999999999999992,0.72,0,baseline,0.5,gradual,6
0.5143030161383446,0.255,0.36,0.385,0.0,0.22,0.035,0.40435268061245877,0.49697503221205197,0.4999999999999992,0.735,0,baseline,0.5,gradual,7
0.5022422995387635,0.255,0.33,0.415,0.0,0.205,0.05,0.39417062728399527,0.48219695226104453,0.4999999999999992,0.75,0,baseline,0.5,gradual,8
0.5217283894550091,0.255,0.435,0.31,0.0,0.205,0.05,0.416508575814191,0.5030677141611816,0.4999999999999992,0.725,0,baseline,0.5,gradual,9
0.5028166752807421,0.26,0.355,0.385,0.0,0.21,0.05,0.397918262020332,0.47822674804022824,0.4999999999999992,0.765,0,baseline,0.5,gradual,10
0.5104297114921506,0.285,0.385,0.33,0.0,0.21,0.075,0.40830751254451547,0.49613455103806187,0.4999999999999992,0.67,0,baseline,0.5,gradual,11
0.49914190043316525,0.305,0.345,0.35,0.0,0.23,0.075,0.3848765132248532,0.45872436010008116,0.4999999999999992,0.745,0,baseline,0.5,gradual,12
0.5282508684035109,0.225,0.405,0.37,0.0,0.19,0.035,0.4264084716371228,0.5223849372113146,0.4999999999999992,0.725,0,baseline,0.5,gradual,13
0.5077002908928112,0.26,0.355,0.385,0.01,0.215,0.035,0.404172019619795,0.48449526186086317,0.4999999999999992,0.7,0,baseline,0.5,gradual,14
0.5126704910139224,0.265,0.415,0.32,0.0,0.21,0.055,0.3993066465205138,0.4989621041275968,0.4999999999999992,0.695,0,baseline,0.5,gradual,15
0.5115156460574862,0.255,0.365,0.38,0.01,0.185,0.06,0.4001753372645996,0.491667489204444,0.4999999999999992,0.735,0,baseline,0.5,gradual,16
0.5013249643745182,0.29,0.405,0.305,0.0,0.23,0.06,0.38917796125770804,0.46917918065685915,0.4999999999999992,0.75,0,baseline,0.5,gradual,17
0.5115512128353472,0.31,0.38,0.31,0.01,0.255,0.045,0.40675546387963335,0.5050239556379644,0.4999999999999992,0.69,0,baseline,0.5,gradual,18
0.5133577512912305,0.195,0.41,0.395,0.0,0.165,0.03,0.4028673886263806,0.5101358758217988,0.4999999999999992,0.805,0,baseline,0.5,gradual,19
