meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,scenario,post_labor,virtual_world_quality,run_id
0.3633072523899981,0.79,0.005,0.205,0.005,0.605,0.18,0.23605090523548775,0.4383800601625222,0.8,1,baseline,0.8,0.0,0
0.3681921003443825,0.78,0.0,0.22,0.0,0.625,0.155,0.24388226936648347,0.45100624949210066,0.8,1,baseline,0.8,0.0,1
0.3667356934578788,0.8,0.01,0.19,0.0,0.68,0.12,0.23934940778084518,0.4424272089753209,0.8,1,baseline,0.8,0.0,2
0.36437758665216813,0.76,0.0,0.24,0.005,0.62,0.135,0.23708067347817396,0.4395172215227225,0.8,1,baseline,0.8,0.0,3
0.3615913918856802,0.825,0.005,0.17,0.0,0.675,0.15,0.2358464803183374,0.44367225165280433,0.8,1,baseline,0.8,0.0,4
0.36608960832995796,0.775,0.03,0.195,0.0,0.62,0.155,0.23909649152796292,0.4432477672374368,0.8,1,baseline,0.8,0.0,5
0.36353662326748065,0.8,0.015,0.185,0.0,0.62,0.18,0.23803793552178615,0.44059103003739936,0.8,1,baseline,0.8,0.0,6
0.36114373399193944,0.825,0.005,0.17,0.0,0.655,0.17,0.2350495961237543,0.4393148086083622,0.8,1,baseline,0.8,0.0,7
0.3645308487446657,0.8,0.005,0.195,0.0,0.615,0.185,0.23957482654253456,0.44314398434837626,0.8,1,baseline,0.8,0.0,8
0.3633336404268643,0.815,0.015,0.17,0.005,0.655,0.155,0.2355816905867305,0.4407489178277004,0.8,1,baseline,0.8,0.0,9
0.36801460392432667,0.805,0.015,0.18,0.0,0.67,0.135,0.2426420989552068,0.44715621553259915,0.8,1,baseline,0.8,0.0,10
0.36629667695760126,0.77,0.005,0.225,0.0,0.61,0.16,0.24002987461375308,0.4433631793449825,0.8,1,baseline,0.8,0.0,11
0.3654027243274554,0.8,0.015,0.185,0.0,0.625,0.175,0.24091119078796028,0.4466053026372989,0.8,1,baseline,0.8,0.0,12
0.36576645037624644,0.79,0.015,0.195,0.0,0.62,0.17,0.2392603999976409,0.44359652509145375,0.8,1,baseline,0.8,0.0,13
0.3681470340824636,0.77,0.005,0.225,0.0,0.635,0.135,0.2423710125026165,0.4496962044533204,0.8,1,baseline,0.8,0.0,14
0.364287958518094,0.815,0.005,0.18,0.01,0.645,0.16,0.24035757764798432,0.44527053364937524,0.8,1,baseline,0.8,0.0,15
0.3660001352154346,0.81,0.015,0.175,0.0,0.66,0.15,0.24149500801204213,0.4446940358506401,0.8,1,baseline,0.8,0.0,16
0.3642479035558563,0.785,0.005,0.21,0.01,0.58,0.195,0.23725118313006532,0.44135443067864705,0.8,1,baseline,0.8,0.0,17
0.3660675701853471,0.82,0.015,0.165,0.0,0.67,0.15,0.24173094429592137,0.44384935909483564,0.8,1,baseline,0.8,0.0,18
0.3642960793219486,0.8,0.005,0.195,0.005,0.65,0.145,0.23581140209001494,0.4421799783071816,0.8,1,baseline,0.8,0.0,19
0.3630177620990162,0.81,0.0,0.19,0.0,0.685,0.125,0.2384754228456102,0.4470255696659494,0.8,1,baseline,0.8,0.0,20
0.36747618298247786,0.78,0.005,0.215,0.005,0.63,0.145,0.24041231802974913,0.4410738374414413,0.8,1,baseline,0.8,0.0,21
0.3681330021674749,0.785,0.0,0.215,0.0,0.635,0.15,0.2436083027979759,0.4488553006090141,0.8,1,baseline,0.8,0.0,22
0.36729369977219223,0.8,0.015,0.185,0.005,0.665,0.13,0.24172091710682742,0.4484009277755148,0.8,1,baseline,0.8,0.0,23
0.3648103404188533,0.79,0.01,0.2,0.0,0.645,0.145,0.23874854741285778,0.4405510114357999,0.8,1,baseline,0.8,0.0,24
0.36524117071848783,0.805,0.005,0.19,0.0,0.67,0.135,0.237770281121254,0.4397292091335626,0.8,1,baseline,0.8,0.0,25
0.3657053358966577,0.79,0.01,0.2,0.0,0.61,0.18,0.23836256353868962,0.4407581756460438,0.8,1,baseline,0.8,0.0,26
0.36424462579397554,0.8,0.005,0.195,0.01,0.635,0.155,0.2397271510712495,0.4451021624420974,0.8,1,baseline,0.8,0.0,27
0.3658555496627561,0.78,0.015,0.205,0.005,0.585,0.19,0.24144329249640187,0.4447633167667705,0.8,1,baseline,0.8,0.0,28
0.3627290047589566,0.815,0.005,0.18,0.005,0.665,0.145,0.2356072153219068,0.44017305935853285,0.8,1,baseline,0.8,0.0,29
0.3665317962840322,0.78,0.005,0.215,0.005,0.63,0.145,0.23926103787598066,0.44650376188874225,0.8,1,baseline,0.8,0.0,30
0.36564349229013887,0.805,0.005,0.19,0.0,0.685,0.12,0.23733806828761064,0.4426302366120601,0.8,1,baseline,0.8,0.0,31
0.36507213771575464,0.81,0.005,0.185,0.0,0.645,0.165,0.23966278927141602,0.4435052633246713,0.8,1,baseline,0.8,0.0,32
0.36068777497409726,0.8,0.005,0.195,0.0,0.635,0.165,0.2321932663663255,0.43369543863643256,0.8,1,baseline,0.8,0.0,33
0.3655386369178855,0.81,0.0,0.19,0.0,0.675,0.135,0.24045741789975497,0.4413407066166856,0.8,1,baseline,0.8,0.0,34
0.363427273751505,0.785,0.015,0.2,0.0,0.605,0.18,0.2364620459824605,0.44157944372431707,0.8,1,baseline,0.8,0.0,35
0.36257591419430996,0.795,0.0,0.205,0.0,0.61,0.185,0.23565006111523823,0.4370882618401551,0.8,1,baseline,0.8,0.0,36
0.3635344377950444,0.775,0.0,0.225,0.0,0.6,0.175,0.2377783300278847,0.4437687145782591,0.8,1,baseline,0.8,0.0,37
0.3640210010857464,0.8,0.01,0.19,0.005,0.62,0.175,0.2393148067387689,0.45006071912512924,0.8,1,baseline,0.8,0.0,38
0.36497413535625184,0.785,0.01,0.205,0.0,0.605,0.18,0.23797673997851,0.44359002670597275,0.8,1,baseline,0.8,0.0,39
0.3643490204742231,0.81,0.0,0.19,0.005,0.67,0.135,0.2373499118356845,0.44025687140735614,0.8,1,baseline,0.8,0.0,40
0.3599402654197183,0.805,0.0,0.195,0.005,0.62,0.18,0.23409572685040472,0.44051222159649045,0.8,1,baseline,0.8,0.0,41
0.36688541158792487,0.785,0.005,0.21,0.005,0.61,0.17,0.24196885363719653,0.4466318275092059,0.8,1,baseline,0.8,0.0,42
0.36638174919867234,0.805,0.015,0.18,0.0,0.67,0.135,0.23923136108579535,0.44380418625455875,0.8,1,baseline,0.8,0.0,43
0.362950356566775,0.8,0.0,0.2,0.0,0.65,0.15,0.23811435861588648,0.4415337505261439,0.8,1,baseline,0.8,0.0,44
0.36552315372940947,0.79,0.005,0.205,0.005,0.655,0.13,0.24102178925690332,0.44492300255346195,0.8,1,baseline,0.8,0.0,45
0.36162245827765793,0.825,0.005,0.17,0.0,0.63,0.195,0.23621528041740747,0.4399826850208285,0.8,1,baseline,0.8,0.0,46
0.3662741690284561,0.805,0.015,0.18,0.0,0.675,0.13,0.2397860017174993,0.4423964776993546,0.8,1,baseline,0.8,0.0,47
0.36968357202406693,0.785,0.01,0.205,0.005,0.66,0.12,0.2415259843163121,0.4464050187689027,0.8,1,baseline,0.8,0.0,48
0.3665196925478106,0.795,0.005,0.2,0.0,0.665,0.13,0.24244597852217226,0.44722770858340083,0.8,1,baseline,0.8,0.0,49
0.36202131005507154,0.805,0.02,0.175,0.005,0.66,0.14,0.23584778407221663,0.44207735190708275,0.8,1,baseline,0.8,0.0,50
0.36811940965594686,0.775,0.005,0.22,0.0,0.64,0.135,0.24237027594925753,0.44730344765584507,0.8,1,baseline,0.8,0.0,51
0.3638560243216202,0.795,0.02,0.185,0.0,0.63,0.165,0.2396054232792727,0.44711744374639095,0.8,1,baseline,0.8,0.0,52
0.3631328327441368,0.79,0.0,0.21,0.005,0.615,0.17,0.23649435717345013,0.43689190453191296,0.8,1,baseline,0.8,0.0,53
0.36332876435800854,0.805,0.005,0.19,0.0,0.645,0.16,0.23716818851741178,0.445506861447974,0.8,1,baseline,0.8,0.0,54
0.3631849097223479,0.8,0.005,0.195,0.005,0.635,0.16,0.23497375838477497,0.43447521706939524,0.8,1,baseline,0.8,0.0,55
0.3637674571556312,0.785,0.015,0.2,0.005,0.62,0.16,0.2374330983961103,0.4410153554063925,0.8,1,baseline,0.8,0.0,56
0.3655157740056555,0.79,0.005,0.205,0.0,0.63,0.16,0.23929953595293377,0.44242821589903264,0.8,1,baseline,0.8,0.0,57
0.36397598204970494,0.795,0.015,0.19,0.0,0.615,0.18,0.23698362889789013,0.439313001606331,0.8,1,baseline,0.8,0.0,58
0.3656592648050749,0.795,0.005,0.2,0.005,0.64,0.15,0.23835773218360776,0.4443039176418603,0.8,1,baseline,0.8,0.0,59
0.36663326415000186,0.785,0.005,0.21,0.0,0.645,0.14,0.24203003633573517,0.44763295896443317,0.8,1,baseline,0.8,0.0,60
0.3667254063400444,0.795,0.005,0.2,0.005,0.64,0.15,0.2392341529622623,0.4434225372163682,0.8,1,baseline,0.8,0.0,61
0.36380190185230654,0.815,0.0,0.185,0.0,0.69,0.125,0.23754975021923286,0.4434409925335717,0.8,1,baseline,0.8,0.0,62
0.360075827050448,0.81,0.005,0.185,0.0,0.645,0.165,0.23388241380421612,0.43887786686707714,0.8,1,baseline,0.8,0.0,63
0.3625850955723553,0.825,0.005,0.17,0.005,0.665,0.155,0.23676074461528032,0.4450615318557296,0.8,1,baseline,0.8,0.0,64
0.364361885344845,0.8,0.015,0.185,0.0,0.645,0.155,0.23998713213374978,0.4461559725375188,0.8,1,baseline,0.8,0.0,65
0.36659248937372046,0.795,0.005,0.2,0.0,0.64,0.155,0.2399317041876098,0.44578823586052413,0.8,1,baseline,0.8,0.0,66
0.36452941423582064,0.805,0.01,0.185,0.0,0.64,0.165,0.23725844383656708,0.44421275052528075,0.8,1,baseline,0.8,0.0,67
0.3685474055104524,0.78,0.005,0.215,0.005,0.63,0.145,0.242504797261645,0.4495434415688511,0.8,1,baseline,0.8,0.0,68
0.36743314981733993,0.785,0.015,0.2,0.0,0.635,0.15,0.24109571626171697,0.4466805783922681,0.8,1,baseline,0.8,0.0,69
0.3633900259280409,0.81,0.01,0.18,0.0,0.665,0.145,0.23459364349297337,0.43889158629035263,0.8,1,baseline,0.8,0.0,70
0.3640083881021772,0.77,0.01,0.22,0.0,0.595,0.175,0.23513523778632198,0.43846233365629333,0.8,1,baseline,0.8,0.0,71
0.3647730032978954,0.79,0.0,0.21,0.0,0.605,0.185,0.23938296209306797,0.44718893946065646,0.8,1,baseline,0.8,0.0,72
0.365130501677823,0.795,0.01,0.195,0.005,0.65,0.14,0.2393229060720744,0.4443538544442447,0.8,1,baseline,0.8,0.0,73
0.3666648816697559,0.79,0.015,0.195,0.0,0.625,0.165,0.2388821973950327,0.4457621816946397,0.8,1,baseline,0.8,0.0,74
0.3653187007104684,0.79,0.01,0.2,0.0,0.64,0.15,0.23545837855070062,0.43485293040839734,0.8,1,baseline,0.8,0.0,75
0.36646533444958485,0.785,0.005,0.21,0.0,0.625,0.16,0.23871111431447187,0.44248591803012,0.8,1,baseline,0.8,0.0,76
0.3671570234452478,0.805,0.005,0.19,0.005,0.655,0.145,0.2418520204620548,0.44651332890589046,0.8,1,baseline,0.8,0.0,77
0.36280968194789076,0.785,0.005,0.21,0.0,0.615,0.17,0.23714791755717976,0.43977969873620004,0.8,1,baseline,0.8,0.0,78
0.36437179213647497,0.805,0.005,0.19,0.005,0.64,0.16,0.2385386156999435,0.43926861134768985,0.8,1,baseline,0.8,0.0,79
0.3641600558977445,0.82,0.01,0.17,0.005,0.645,0.17,0.23911630160722985,0.4461223582836717,0.8,1,baseline,0.8,0.0,80
0.36320614797608186,0.825,0.005,0.17,0.0,0.66,0.165,0.23565315387544017,0.4401016165503789,0.8,1,baseline,0.8,0.0,81
0.3609623622364107,0.805,0.0,0.195,0.0,0.61,0.195,0.23536231332222912,0.43842338710083956,0.8,1,baseline,0.8,0.0,82
