horizon,scenario,post_labor,run_id,sink_index,meaning_index
240,baseline,0.5,31,0.285,0.48775846394040956
80,baseline,0.5,32,0.295,0.5043186571792934
120,baseline,0.5,32,0.3,0.48790748741777
160,baseline,0.5,32,0.31,0.4835447712058068
240,baseline,0.5,32,0.315,0.48604513633982277
80,baseline,0.5,33,0.28,0.49511690524345675
120,baseline,0.5,33,0.28,0.49441472279760235
160,baseline,0.5,33,0.3,0.5013470120947806
240,baseline,0.5,33,0.24,0.5074903923772669
80,baseline,0.5,34,0.305,0.4910778302772624
120,baseline,0.5,34,0.29,0.5030617199825422
160,baseline,0.5,34,0.31,0.48601988035504107
240,baseline,0.5,34,0.27,0.5023231311175133
80,baseline,0.5,35,0.27,0.5053826190149846
120,baseline,0.5,35,0.295,0.4842783008731064
160,baseline,0.5,35,0.295,0.4949456013746746
240,baseline,0.5,35,0.325,0.48347640612277687
80,baseline,0.5,36,0.24,0.5005071827985063
120,baseline,0.5,36,0.33,0.4893031738117804
160,baseline,0.5,36,0.26,0.47978524933945577
240,baseline,0.5,36,0.28,0.49059962826547193
80,baseline,0.5,37,0.315,0.4920844913920358
120,baseline,0.5,37,0.315,0.4898596753960615
160,baseline,0.5,37,0.31,0.4864998372394876
240,baseline,0.5,37,0.27,0.5017490803342332
80,baseline,0.5,38,0.315,0.4826875640768614
120,baseline,0.5,38,0.305,0.4845850946131829
160,baseline,0.5,38,0.3,0.48343238871487204
240,baseline,0.5,38,0.325,0.47986136790634143
80,baseline,0.5,39,0.285,0.5006103166341862
120,baseline,0.5,39,0.285,0.4894891177535659
160,baseline,0.5,39,0.295,0.4907460444654572
240,baseline,0.5,39,0.345,0.47747878058269505
80,baseline,0.5,40,0.265,0.5035914250101454
120,baseline,0.5,40,0.3,0.4795792109214749
160,baseline,0.5,40,0.3,0.4979726495458918
240,baseline,0.5,40,0.305,0.4903368702748662
80,baseline,0.5,41,0.3,0.4980494855928835
120,baseline,0.5,41,0.29,0.4928447806744529
160,baseline,0.5,41,0.365,0.488462747316018
240,baseline,0.5,41,0.33,0.48616770484297206
80,baseline,0.5,42,0.33,0.4777606739372208
120,baseline,0.5,42,0.38,0.47782535400176274
160,baseline,0.5,42,0.305,0.4849522808593829
240,baseline,0.5,42,0.285,0.49558948855040286
80,baseline,0.5,43,0.275,0.49791613289818654
120,baseline,0.5,43,0.255,0.49836277200652934
160,baseline,0.5,43,0.29,0.49340037090867694
240,baseline,0.5,43,0.275,0.4934390330284698
80,baseline,0.5,44,0.265,0.5022055877497922
120,baseline,0.5,44,0.33,0.4918987663205966
160,baseline,0.5,44,0.27,0.5029783575922915
240,baseline,0.5,44,0.285,0.49203611074598214
80,baseline,0.5,45,0.295,0.4968609491598326
120,baseline,0.5,45,0.325,0.4848141830708145
160,baseline,0.5,45,0.325,0.49249560731094577
240,baseline,0.5,45,0.335,0.48801564993822394
80,baseline,0.5,46,0.3,0.48794798474511575
120,baseline,0.5,46,0.36,0.48981116286374843
160,baseline,0.5,46,0.255,0.5007323926336685
240,baseline,0.5,46,0.31,0.49435941685128326
80,baseline,0.5,47,0.285,0.4964628465837042
