parameter,value,post_labor,analytic_displaced_meaning,analytic_mixed_meaning,analytic_displaced_autonomy,analytic_displaced_competence,analytic_displaced_relatedness,analytic_displaced_status,analytic_displaced_economic_role,analytic_mixed_economic_role,equilibrium_meaning_mean,equilibrium_meaning_std,trigger_rate_mean,trigger_rate_std,fraction_in_band_mean,fraction_in_band_std,n_runs,n_steps,burn_in
ubi_strength,0.15,0.95,0.40382415,0.4180613625,0.400197,0.40625,0.4753,0.307874,0.105,0.14975000000000005,0.38264648799551326,0.007851144313616451,0.0769625,0.004418904700262273,0.5914124999999999,0.027376892057901676,100,80,60
ubi_strength,0.2,0.95,0.4149594,0.42863985,0.410396,0.41500000000000004,0.4788,0.321104,0.13999999999999999,0.18300000000000002,0.3934259449473677,0.00661104831920305,0.075925,0.004211368542409937,0.6237725000000001,0.02189255281482725,100,80,60
ubi_strength,0.25,0.95,0.42609465,0.43921833750000006,0.420595,0.42375,0.48229999999999995,0.334334,0.175,0.21625000000000003,0.4059892655907547,0.006117917613182612,0.0734425,0.003646548882162421,0.66173,0.020447514518884678,100,80,60
ubi_strength,0.3,0.95,0.4372299,0.449796825,0.430794,0.4325,0.4858,0.347564,0.21,0.24950000000000003,0.41982139795325446,0.0071271539153524325,0.0707175,0.004059965363152746,0.699165,0.023123992410481374,100,80,60
ubi_strength,0.35,0.95,0.44836514999999993,0.4603753125,0.440993,0.44125000000000003,0.48929999999999996,0.360794,0.24499999999999997,0.28275,0.43276621914127517,0.0074178071761502925,0.068625,0.004140878529974046,0.7325475,0.019385261637388348,100,80,60
ubi_strength,0.4,0.95,0.4595004,0.4709538,0.451192,0.45,0.4928,0.374024,0.27999999999999997,0.316,0.44291339654215034,0.007088673202665965,0.06553250000000001,0.004649281530516302,0.7519175,0.020379096367356436,100,80,60
ubi_strength,0.45,0.95,0.47063564999999996,0.48153228749999993,0.461391,0.45875,0.49629999999999996,0.387254,0.315,0.34925,0.4549269808735671,0.007418793003159848,0.06433749999999999,0.004178123831338656,0.7713875000000001,0.019086820551102814,100,80,60
ubi_strength,0.5,0.95,0.48177089999999995,0.492110775,0.47159,0.4675,0.4998,0.400484,0.35,0.3825,0.46840982639810796,0.006525534431584335,0.061715,0.0038658795894336907,0.79012,0.015929354977524974,100,80,60
