UserId,Reputation,log_rep,PreAnsCount,log_pre_ans,tenure_years,AnsCount,z_comp,z_stat,z_rel,dominant_type,type_margin,active_months,post_engage,exit_K3,dur_K3,exit_K6,dur_K6,exit_K9,dur_K9,outcome3
70345,1,0.6931471805599453,10,2.3978952727983707,13.763175906913073,10,-0.5641838081350898,0.5013232492069071,0.7858481642698116,relatedness,0.28452491506290456,11.925098554533507,284,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
117982,326,5.7899601708972535,5,1.791759469228055,13.486652977412732,5,1.461680999697843,-0.3323132208941974,-0.25771301843322036,competence,1.7193940181310634,0.0,0,1,0.0,1,0.0,1,0.0,exit
135699,132,4.890349128221754,11,2.4849066497880004,13.39356605065024,11,-1.043025317573713,0.3497514662131242,-0.3096899191312795,status,0.6594413853444037,0.0,0,1,0.0,1,0.0,1,0.0,exit
189955,404,6.003887067106539,5,1.791759469228055,13.127994524298426,5,-0.15901084656850312,-0.3323132208941974,-0.06713104920700359,relatedness,0.09187979736149952,0.0,0,1,0.0,1,0.0,1,0.0,exit
197238,387,5.961005339623274,7,2.0794415416798357,13.092402464065708,7,1.6932049333962216,-1.165949690995302,0.21420423869836414,competence,1.4790006946978576,0.49277266754270693,1,1,0.49277266754270693,1,0.49277266754270693,1,0.49277266754270693,migration
198310,448,6.1070228877422545,5,1.791759469228055,13.089664613278575,5,-0.9693567697016763,1.3349597193080114,0.12683092618464034,status,1.208128793123371,7.3258869908015765,6,1,7.3258869908015765,0,11.990801576872535,0,11.990801576872535,active
206852,393,5.976350909297934,5,1.791759469228055,13.05681040383299,5,1.461680999697843,-1.165949690995302,0.3457965507831328,competence,1.1158844489147102,0.0,6,1,0.0,1,0.0,1,0.0,migration
220525,311,5.7430031878094825,6,1.9459101490553132,13.00479123887748,6,0.24616211499808333,0.22344303644575528,-0.30006456715015745,competence,0.022719078552328048,0.0,0,1,0.0,1,0.0,1,0.0,exit
237202,86,4.465908118654584,13,2.6390573296152584,12.93908281998631,13,-0.8446891011572533,0.7578248546923158,-0.2919200385507465,status,1.0497448932430622,0.0,0,1,0.0,1,0.0,1,0.0,exit
240226,189,5.247024072160486,5,1.791759469228055,12.919917864476385,5,-1.7797026928348494,-0.3323132208941974,-0.3530040030463288,status,0.02069078215213138,0.0,0,1,0.0,1,0.0,1,0.0,exit
246646,425,6.054439346269371,6,1.9459101490553132,12.892539356605065,6,0.24616211499808333,0.22344303644575528,0.9969516123060401,relatedness,0.7507894973079567,0.0,0,1,0.0,1,0.0,1,0.0,exit
249285,279,5.634789603169249,5,1.791759469228055,12.881587953456537,5,-0.15901084656850312,0.5013232492069071,-0.2894766799709232,status,0.6603340957754102,7.851511169513797,0,1,7.851511169513797,0,11.990801576872535,0,11.990801576872535,active
261940,91,4.5217885770490405,5,1.791759469228055,12.83504449007529,5,-0.9693567697016763,-0.3323132208941974,-0.321240341508626,relatedness,0.011072879385571388,0.0,0,1,0.0,1,0.0,1,0.0,exit
276548,188,5.241747015059643,6,1.9459101490553132,12.780287474332649,6,2.272026922831016,-1.165949690995302,-0.19418569535781482,competence,2.466212618188831,3.9421813403416555,4,1,3.9421813403416555,1,3.9421813403416555,0,11.990801576872535,migration
284932,474,6.163314804034641,10,2.3978952727983707,12.744695414099931,10,-1.7797026928348494,3.0022326595102204,-0.22256935073009043,status,3.2248020102403108,8.869908015768726,21,1,8.869908015768726,0,11.990801576872535,0,11.990801576872535,active
293792,348,5.855071922202427,6,1.9459101490553132,12.711841204654347,6,-1.1044171247102823,0.22344303644575528,-0.24712513125398616,status,0.4705681676997414,0.0,2,1,0.0,1,0.0,1,0.0,migration
314813,371,5.918893854273146,6,1.9459101490553132,12.635181382614647,6,-0.4291275048560995,0.22344303644575528,-0.3530040030463288,status,0.5764470394920841,0.0,0,1,0.0,1,0.0,1,0.0,exit
321550,332,5.808142489980444,6,1.9459101490553132,12.61327857631759,6,0.24616211499808333,-0.4712554113659485,-0.2735948492020718,competence,0.5197569642001552,0.0,0,1,0.0,1,0.0,1,0.0,exit
323806,321,5.7745515455444085,6,1.9459101490553132,12.605065023956195,6,-0.4291275048560995,0.22344303644575528,-0.22065541330590044,status,0.4440984497516557,0.0,1,1,0.0,1,0.0,1,0.0,migration
332468,478,6.171700597410915,10,2.3978952727983707,12.574948665297741,10,-0.5641838081350898,0.5013232492069071,-0.25771301843322036,status,0.7590362676401274,0.0,0,1,0.0,1,0.0,1,0.0,exit
336475,401,5.996452088619021,5,1.791759469228055,12.56125941136208,5,1.461680999697843,-1.165949690995302,-0.162422033820112,competence,1.624103033517955,0.0,0,1,0.0,1,0.0,1,0.0,exit
339620,400,5.993961427306569,9,2.302585092994046,12.553045859000685,9,0.47125595379640056,-1.165949690995302,-0.22947865262192904,competence,0.7007346064183296,0.0,0,1,0.0,1,0.0,1,0.0,exit
373436,101,4.624972813284271,5,1.791759469228055,12.44079397672827,5,-0.15901084656850312,1.3349597193080114,-0.22594935689551757,status,1.4939705658765146,0.0,0,1,0.0,1,0.0,1,0.0,exit
405439,86,4.465908118654584,6,1.9459101490553132,12.33949349760438,6,1.5967373029768333,-1.165949690995302,-0.3530040030463288,competence,1.949741306023162,3.9421813403416555,0,1,3.9421813403416555,1,3.9421813403416555,0,11.990801576872535,exit
405889,187,5.236441962829949,8,2.1972245773362196,12.33949349760438,8,0.24616211499808333,-0.6449268971821116,0.10359863155814897,competence,0.14256348343993436,0.0,0,1,0.0,1,0.0,1,0.0,exit
417772,324,5.783825182329737,5,1.791759469228055,12.303901437371664,5,1.461680999697843,-1.165949690995302,-0.162422033820112,competence,1.624103033517955,0.0,0,1,0.0,1,0.0,1,0.0,exit
417905,121,4.804021044733257,7,2.0794415416798357,12.301163586584531,7,0.535569057985865,-0.5704956649491345,0.05297763833262529,competence,0.48259141965323965,0.0,0,1,0.0,1,0.0,1,0.0,exit
421284,160,5.081404364984463,7,2.0794415416798357,12.290212183436003,7,-1.2008847551296709,0.024958361097032953,-0.2168740250276025,status,0.24183238612463545,6.3731931668856765,4,1,6.3731931668856765,0,11.990801576872535,0,11.990801576872535,active
443119,366,5.905361848054571,7,2.0794415416798357,12.224503764544833,7,1.114386995691043,-1.165949690995302,-0.3530040030463288,competence,1.4673909987373719,1.0840998685939554,0,1,1.0840998685939554,1,1.0840998685939554,1,1.0840998685939554,exit
444988,440,6.089044875446846,10,2.3978952727983707,12.219028062970569,10,1.0565080381312562,-0.3323132208941974,0.0984472708123647,competence,0.9580607673188914,4.533508541392904,0,1,4.533508541392904,1,4.533508541392904,0,11.990801576872535,exit
446507,363,5.8971538676367405,9,2.302585092994046,12.314852840520192,9,0.021064224470150533,-0.23968787270126374,-0.22947865262192904,competence,0.25054287709207956,0.0,0,1,0.0,1,0.0,1,0.0,exit
448862,362,5.8944028342648505,24,3.2188758248682006,12.208076659822039,24,-1.1044171247102823,1.265488624072136,-0.24050770176696468,status,1.5059963258391007,0.5256241787122208,7,1,0.5256241787122208,1,0.5256241787122208,1,0.5256241787122208,migration
452928,391,5.971261839790462,7,2.0794415416798357,12.19438740588638,7,-1.2008847551296709,1.2158664131893677,-0.03536738766930079,status,1.2512338008586685,0.0,13,1,0.0,1,0.0,1,0.0,migration
453970,164,5.10594547390058,8,2.1972245773362196,12.191649555099247,8,2.272026922831016,-1.165949690995302,-0.3530040030463288,competence,2.6250309258773448,9.42838370565046,2,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
457140,1,0.6931471805599453,46,3.8501476017100584,12.183436002737851,46,-0.37040578753625397,-0.3504364777541955,-0.08032338819168221,relatedness,0.2701130895625133,11.892247043363994,64,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
460069,484,6.184148890937483,5,1.791759469228055,12.172484599589323,5,0.6513350765646697,-0.3323132208941974,-0.3530040030463288,competence,0.9836482974588672,5.814717477003942,1,1,5.814717477003942,1,5.814717477003942,0,11.990801576872535,migration
475485,342,5.8377304471659395,6,1.9459101490553132,12.128678986995208,6,-0.4291275048560995,-0.4712554113659485,-0.24712513125398616,relatedness,0.18200237360211335,0.0,1,1,0.0,1,0.0,1,0.0,migration
478499,381,5.945420608606575,9,2.302585092994046,12.120465434633813,9,0.47125595379640056,-1.165949690995302,-0.05301386630135791,competence,0.5242698200977585,0.0,0,1,0.0,1,0.0,1,0.0,exit
488399,124,4.8283137373023015,9,2.302585092994046,12.093086926762492,9,1.3716394124489006,-0.7028187818482827,-0.28241808851810035,competence,1.654057500967001,1.609724047306176,0,1,1.609724047306176,1,1.609724047306176,1,1.609724047306176,exit
498142,402,5.998936561946683,5,1.791759469228055,12.068446269678303,5,0.6513350765646697,0.5013232492069071,-0.2894766799709232,competence,0.15001182735776264,11.826544021024967,3,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
