post_labor,scenario,meaning_mean,meaning_std,sink_mean,sink_std,collapse_prob,birth_intention,social_trust,n_runs
0.0,baseline,0.6611622950441762,0.008486280570657753,0.0152,0.00844912747578357,0.0,0.6001349874738535,0.539518774411917,50
0.0,fairness_only,0.6901146515188641,0.008340813831783535,0.0066,0.005480950312357394,0.0,0.6410525711995126,0.5827092305579046,50
0.0,full_bundle,0.7124369135844563,0.008230642487912634,0.0031,0.004026696625558687,0.0,0.658667180786056,0.5975527210217138,50
0.0,roles_only,0.6760304142104342,0.008392145694922028,0.0096,0.007412069583470198,0.0,0.6046683935847718,0.539625443623677,50
0.0,ubi_only,0.6715226612333592,0.008457745910637708,0.0116,0.007853245786791288,0.0,0.6147019815871099,0.5547597674541305,50
0.2,baseline,0.5964134357032811,0.007559511816170195,0.0805,0.021529524104430764,0.0,0.5161051464991511,0.5191646724108415,50
0.2,fairness_only,0.6295472677155375,0.007264708419382889,0.0483,0.01624462234408793,0.0,0.5615458510480711,0.5633505126623354,50
0.2,full_bundle,0.6670947242174345,0.007017088106434248,0.021099999999999997,0.009218991046658381,0.0,0.597748709125775,0.582712500551042,50
0.2,roles_only,0.6279346500926439,0.007204833472571924,0.04190000000000001,0.014669487978488563,0.0,0.5410105311297342,0.5245704334274383,50
0.2,ubi_only,0.6086508520758404,0.007430305478312053,0.0676,0.018850648232236207,0.0,0.5328176051108525,0.5347537209469022,50
0.4,baseline,0.5292176666499392,0.010040944056235237,0.20550000000000002,0.029970223317724635,0.0,0.43242070940011046,0.5009148918094607,50
0.4,fairness_only,0.5667760395109105,0.009609759347975578,0.1359,0.024901643253703032,0.0,0.48218869973711276,0.5461869834856489,50
0.4,full_bundle,0.6215735853546395,0.009152071544733048,0.0538,0.01986073965369459,0.0,0.5380742482481466,0.5706987957392113,50
0.4,roles_only,0.5795068646398913,0.009383429739229931,0.0986,0.023755557888886652,0.0,0.47880126090924724,0.5124314724960162,50
0.4,ubi_only,0.5434766356407887,0.009922935038893315,0.17379999999999998,0.028222150802487883,0.0,0.45122465915397214,0.5169170238058706,50
0.5,baseline,0.4947126956548828,0.007898392749048187,0.2918,0.023813904358931295,0.0,0.3881401694696594,0.48732122091841773,50
0.5,fairness_only,0.5347115896384167,0.007563835198410921,0.1963,0.022447444288872645,0.0,0.4399378032342007,0.5334242278983187,50
0.5,full_bundle,0.5988552281405,0.007235808271415408,0.0742,0.014082845259827465,0.0,0.5061084188685759,0.5609192103647969,50
0.5,roles_only,0.555202248958013,0.007495135770003202,0.1381,0.019714544511758882,0.0,0.4454735875392346,0.502239928620806,50
0.5,ubi_only,0.5099837928673725,0.007711370304434837,0.2552,0.024701483058839256,0.0,0.4078675274191901,0.5036121313833486,50
0.6,baseline,0.45789961848668476,0.009286684366497367,0.3947,0.03887985155762375,0.0,0.343715377258949,0.4739612576969074,50
0.6,fairness_only,0.5001511501587259,0.008942866691460117,0.27690000000000003,0.03023530170823098,0.0,0.39734507981233724,0.5207135325195228,50
0.6,full_bundle,0.5738457497532969,0.00839772261155841,0.10980000000000001,0.021805260552332367,0.0,0.4740772963357632,0.5515273751129771,50
0.6,roles_only,0.52841136845409,0.008758713881817513,0.1928,0.027703974517776914,0.0,0.4119565914005277,0.49247458151181933,50
0.6,ubi_only,0.47416325957233857,0.00924196342029824,0.34909999999999997,0.03466589808148519,0.0,0.36431189636000993,0.4904791260283533,50
0.7,baseline,0.4214384080301166,0.009462964538399636,0.5122,0.03316870912933035,0.0,0.30011920482886373,0.4656204431109576,50
0.7,fairness_only,0.4648620420430498,0.009499448216806148,0.37770000000000004,0.04206663809738457,0.0,0.3548219327698569,0.512897098737806,50
0.7,full_bundle,0.5485011306361375,0.008803827763238384,0.1515,0.031220904822877628,0.0,0.4419258151704169,0.5468760176299251,50
0.7,roles_only,0.5013233551673146,0.009184369917733375,0.26170000000000004,0.033481795236290704,0.0,0.3786600484891843,0.48766214721780776,50
0.7,ubi_only,0.438183917058122,0.009590640579320749,0.4592,0.03747597870092037,0.0,0.32124382807413293,0.48235243977536696,50
0.8,baseline,0.3823326456133287,0.00808934994274664,0.6293,0.03614045728904415,2.0,0.2528253260387296,0.4489255151231448,50
0.8,fairness_only,0.4267004365079128,0.008402613907297542,0.49060000000000004,0.03679285644951049,0.0,0.3079317202554954,0.49667699004983634,50
0.8,full_bundle,0.5206441889941774,0.008028918571675625,0.2059,0.030096613139171977,0.0,0.4057998072574772,0.5344568849190275,50
0.8,roles_only,0.47143040434778993,0.008150490040251758,0.3432,0.036390175844026686,0.0,0.3410552849479165,0.47462616958900683,50
0.8,ubi_only,0.39946948095862267,0.008250782865867223,0.5792,0.03782829089235641,2.0,0.27411013302452847,0.465777243345603,50
0.9,baseline,0.3480681138767276,0.008140871773402777,0.736,0.032670276074369384,86.0,0.21223164237207534,0.4368776227226423,50
0.9,fairness_only,0.3923997539785828,0.008545690985723811,0.6033,0.03323708894642628,0.0,0.2672038528648697,0.4849005084727074,50
0.9,full_bundle,0.4955430117821855,0.008612555256352331,0.26580000000000004,0.03178948613254748,0.0,0.37487722270692925,0.5262369870173143,50
0.9,roles_only,0.445308662621267,0.008580121004707307,0.42369999999999997,0.03526589958400874,0.0,0.3095785843927852,0.4662326656319561,50
0.9,ubi_only,0.36518851436644206,0.008232807580186697,0.6888,0.030682042876934414,32.0,0.23348642798887734,0.4537590375218061,50
0.95,baseline,0.3303418844581795,0.007761817711224602,0.7876000000000001,0.0255199001981287,100.0,0.19200585740877238,0.4322933267215132,50
0.95,fairness_only,0.3743106289803433,0.008147250650840956,0.6568,0.03282234181847755,6.0,0.24651992641892082,0.48020879676519734,50
0.95,full_bundle,0.48176438256859583,0.008221904781656892,0.3009,0.0340421407514095,0.0,0.35901547933054845,0.5233611150028564,50
0.95,roles_only,0.4305822653679306,0.008248963358776238,0.4725,0.03695350084213667,0.0,0.2930527835681344,0.46309104257319467,50
0.95,ubi_only,0.34741036449036533,0.007919366685031895,0.7403,0.02681017930349806,92.0,0.21312347830874653,0.44915284960044116,50
