speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,baseline,45,40,29,0.765,0.33464525329697814,0.95
rapid,baseline,15,10,30,0.55,0.3988921676100556,0.95
rapid,baseline,25,20,30,0.705,0.36275619137377724,0.95
rapid,baseline,45,40,30,0.76,0.3510097495624893,0.95
rapid,baseline,15,10,31,0.665,0.38303787611694773,0.95
rapid,baseline,25,20,31,0.775,0.35219252478007446,0.95
rapid,baseline,45,40,31,0.82,0.32223000146582537,0.95
rapid,baseline,15,10,32,0.61,0.39095648424011176,0.95
rapid,baseline,25,20,32,0.69,0.36431820192234954,0.95
rapid,baseline,45,40,32,0.745,0.33957411841852725,0.95
rapid,baseline,15,10,33,0.595,0.38586756030516894,0.95
rapid,baseline,25,20,33,0.705,0.35579251396279615,0.95
rapid,baseline,45,40,33,0.78,0.3445025694839367,0.95
rapid,baseline,15,10,34,0.665,0.36727344975825504,0.95
rapid,baseline,25,20,34,0.765,0.3315995445565042,0.95
rapid,baseline,45,40,34,0.765,0.33372373011369816,0.95
rapid,baseline,15,10,35,0.6,0.3838495641487051,0.95
rapid,baseline,25,20,35,0.765,0.34458711215518,0.95
rapid,baseline,45,40,35,0.835,0.31955851711004135,0.95
rapid,baseline,15,10,36,0.665,0.3741582813065731,0.95
rapid,baseline,25,20,36,0.745,0.3390786927246985,0.95
rapid,baseline,45,40,36,0.795,0.32184797068169685,0.95
rapid,baseline,15,10,37,0.655,0.38422316568916626,0.95
rapid,baseline,25,20,37,0.75,0.35774669179639973,0.95
rapid,baseline,45,40,37,0.765,0.3489196794220786,0.95
rapid,baseline,15,10,38,0.67,0.3682047330939611,0.95
rapid,baseline,25,20,38,0.675,0.35928702477337027,0.95
rapid,baseline,45,40,38,0.81,0.32327241872628387,0.95
rapid,baseline,15,10,39,0.695,0.3662220904365354,0.95
rapid,baseline,25,20,39,0.76,0.3366831428102271,0.95
rapid,baseline,45,40,39,0.755,0.33970124614175135,0.95
rapid,baseline,15,10,40,0.635,0.38487115264002697,0.95
rapid,baseline,25,20,40,0.71,0.3464911411204295,0.95
rapid,baseline,45,40,40,0.8,0.3276084769671412,0.95
rapid,baseline,15,10,41,0.61,0.3877142852076013,0.95
rapid,baseline,25,20,41,0.685,0.35977470748029733,0.95
rapid,baseline,45,40,41,0.805,0.32851297611247277,0.95
rapid,baseline,15,10,42,0.64,0.3836375262167897,0.95
rapid,baseline,25,20,42,0.7,0.36123327381386333,0.95
rapid,baseline,45,40,42,0.75,0.3358464839192351,0.95
