block,approx_month_offset,coef,lo,hi,p
-3,-18,0.0055442117942171,-0.05257951807809337,0.06366794166652757,0.8516968123476089
-2,-12,0.025021232753405218,-0.023201505119767686,0.07324397062657811,0.3091712791249316
0,0,-0.0029002128310435813,-0.04850625954543515,0.04270583388334799,0.9008089932875237
1,6,0.009594742046366955,-0.031155003574558013,0.05034448766729192,0.6444515169208446
2,12,-0.042849469467355614,-0.09773543756909023,0.012036498634379007,0.12598116970929266
3,18,-0.015278907852717466,-0.06333703712601967,0.03277922142058473,0.5332039231242822
4,24,0.0012613974573199623,-0.062435035987474484,0.0649578309021144,0.9690389304598167
5,30,-0.03411236966864602,-0.08451505766535192,0.016290318328059876,0.1846751179490015
6,36,-0.0033408844777605366,-0.06385847332200963,0.05717670436648855,0.9138369120483245
